# UTC, Ls-J, Ls-S, Ls-U, Ls-N, Dist-J (AU), Dist-S (AU), Dist-U (AU), Dist-N (AU), PGLat-J, PGLat-S, PGLat-U, PGLat-N
1970-01-01 00:00:00+00:00,245.909104,224.560116,198.519668,193.858191,5.450349,9.214479,18.316819,30.323548,-3.255283,-22.229403,-19.152287,-6.735665
1970-01-15 23:59:59.999568+00:00,247.045734,225.095254,198.712882,193.948501,5.449443,9.210762,18.317532,30.323503,-3.283480,-22.440389,-19.350684,-6.777785
1970-01-30 23:59:59.999162+00:00,248.171450,225.631048,198.905991,194.036287,5.448430,9.207072,18.318252,30.323456,-3.310398,-22.649596,-19.549020,-6.819895
1970-02-14 23:59:59.998810+00:00,249.313575,226.167527,199.099134,194.122441,5.447311,9.203407,18.318980,30.323409,-3.336027,-22.856999,-19.747295,-6.861991
1970-03-01 23:59:59.998534+00:00,250.445419,226.705368,199.292402,194.214249,5.446088,9.199769,18.319715,30.323357,-3.360355,-23.062574,-19.945509,-6.904077
1970-03-16 23:59:59.998354+00:00,251.588092,227.244473,199.485479,194.296941,5.444759,9.196158,18.320458,30.323306,-3.383373,-23.266299,-20.143660,-6.946149
1970-03-31 23:59:59.998280+00:00,252.722483,227.784168,199.678572,194.391278,5.443325,9.192574,18.321209,30.323251,-3.405071,-23.468149,-20.341750,-6.988211
1970-04-15 23:59:59.998316+00:00,253.867626,228.325183,199.871815,194.472697,5.441788,9.189016,18.321967,30.323196,-3.425438,-23.668102,-20.539777,-7.030259
1970-04-30 23:59:59.998459+00:00,255.005970,228.866749,200.064895,194.566957,5.440147,9.185486,18.322734,30.323137,-3.444465,-23.866133,-20.737741,-7.072296
1970-05-15 23:59:59.998696+00:00,256.146008,229.408491,200.257916,194.649861,5.438403,9.181983,18.323507,30.323077,-3.462142,-24.062218,-20.935641,-7.114321
1970-05-30 23:59:59.999014+00:00,257.280697,229.950240,200.450951,194.741395,5.436557,9.178509,18.324288,30.323015,-3.478461,-24.256336,-21.133477,-7.156333
1970-06-14 23:59:59.999390+00:00,258.418220,230.492304,200.644013,194.827993,5.434609,9.175063,18.325076,30.322950,-3.493412,-24.448462,-21.331246,-7.198334
1970-06-29 23:59:59.999800+00:00,259.559611,231.033469,200.837046,194.915259,5.432560,9.171646,18.325872,30.322884,-3.506988,-24.638575,-21.528949,-7.240321
1970-07-15 00:00:00.000219+00:00,260.699767,231.574832,201.029942,195.006261,5.430410,9.168258,18.326675,30.322814,-3.519180,-24.826651,-21.726584,-7.282296
1970-07-30 00:00:00.000620+00:00,261.845032,232.115992,201.223016,195.089488,5.428161,9.164900,18.327485,30.322743,-3.529980,-25.012666,-21.924151,-7.324257
1970-08-14 00:00:00.000978+00:00,262.986752,232.656990,201.416106,195.183727,5.425812,9.161573,18.328302,30.322668,-3.539382,-25.196598,-22.121649,-7.366206
1970-08-29 00:00:00.001269+00:00,264.140659,233.197732,201.608954,195.264851,5.423365,9.158276,18.329128,30.322592,-3.547378,-25.378426,-22.319076,-7.408141
1970-09-13 00:00:00.001475+00:00,265.286086,233.739358,201.801901,195.359785,5.420821,9.155009,18.329961,30.322511,-3.553962,-25.558125,-22.516432,-7.450063
1970-09-28 00:00:00.001580+00:00,266.440222,234.280867,201.994861,195.441698,5.418182,9.151774,18.330803,30.322430,-3.559127,-25.735674,-22.713718,-7.491971
1970-10-13 00:00:00.001577+00:00,267.580265,234.823393,202.187692,195.534443,5.415448,9.148569,18.331652,30.322347,-3.562867,-25.911049,-22.910932,-7.533864
1970-10-28 00:00:00.001465+00:00,268.734734,235.367046,202.380481,195.619762,5.412621,9.145396,18.332510,30.322261,-3.565176,-26.084228,-23.108076,-7.575745
1970-11-12 00:00:00.001250+00:00,269.877302,235.911804,202.573271,195.708269,5.409701,9.142255,18.333376,30.322174,-3.566049,-26.255188,-23.305148,-7.617610
1970-11-27 00:00:00.000945+00:00,271.034653,236.457353,202.766193,195.798221,5.406690,9.139145,18.334249,30.322084,-3.565480,-26.423909,-23.502149,-7.659463
1970-12-12 00:00:00.000570+00:00,272.177746,237.004588,202.958968,195.882208,5.403589,9.136067,18.335131,30.321994,-3.563467,-26.590368,-23.699078,-7.701300
1970-12-27 00:00:00.000152+00:00,273.339143,237.552357,203.151649,195.976102,5.400397,9.133021,18.336020,30.321900,-3.560003,-26.754544,-23.895936,-7.743125
1971-01-10 23:59:59.999718+00:00,274.491704,238.100540,203.344550,196.057202,5.397118,9.130007,18.336917,30.321807,-3.555086,-26.916414,-24.092721,-7.784935
1971-01-25 23:59:59.999300+00:00,275.660593,238.649220,203.537278,196.152648,5.393751,9.127027,18.337821,30.321709,-3.548711,-27.075958,-24.289433,-7.826732
1971-02-09 23:59:59.998926+00:00,276.815713,239.197717,203.729853,196.233722,5.390299,9.124080,18.338733,30.321610,-3.540875,-27.233155,-24.486070,-7.868515
